,ESG_DISCLOSURE_SCORE,PE_RATIO,PX_TO_BOOK_RATIO,IS_EPS,RETURN_COM_EQY,TOT_DEBT_TO_TOT_EQY,BOOK_VAL_PER_SH,PROF_MARGIN,RETURN_ON_ASSET,Ticker,Industry,MarketCap,ESG_SCORE,BETA_RAW_OVERRIDABLE,OPER_INC_GROWTH
2020-12-31,30.0573,,3.3142,-2.02,-39.4089,3.2734,5.2863,-805.8776,-33.3249,CLDX US Equity,Health Care,1718572297.5299997,,-56.3055,-15.1242
2021-12-31,30.671,,4.3045,-1.64,-22.426,1.0957,8.9766,-1516.0396,-20.7235,CLDX US Equity,Health Care,1718572297.5299997,,-53.142,-12.4523
2022-12-31,30.671,,6.4491,-2.4,-30.1269,1.5398,6.911,-4765.5919,-28.1732,CLDX US Equity,Health Care,1718572297.5299997,,2.2704,-61.7478
2016-12-31,,,,-11.451,,95.7638,46.2637,-71.2378,,SWI US Equity,Information Technology,1699177309.6800003,,,
2017-12-31,,,,-7.0,-14.732,93.6059,46.7551,-11.5198,-1.5929,SWI US Equity,Information Technology,1699177309.6800003,,,
2018-12-31,32.1195,,0.8499,5.1979,14.4891,73.5435,17.158,-12.2515,-1.9401,SWI US Equity,Information Technology,1699177309.6800003,1.55,,65.3674
2019-12-31,32.5822,86.1546,1.1379,0.12,0.7004,76.2584,17.1885,1.9991,0.3549,SWI US Equity,Information Technology,1699177309.6800003,1.54,,17.353
2020-12-31,32.5822,10.3337,0.8195,2.02,5.5996,67.6076,19.2352,22.1096,2.8758,SWI US Equity,Information Technology,1699177309.6800003,1.68,4.2424,-61.3436
2021-12-31,32.6929,9.4534,0.9872,-0.33,-1.9404,86.5246,14.3734,-7.1536,-0.979,SWI US Equity,Information Technology,1699177309.6800003,,0.8867,
2022-12-31,32.6929,291.7524,1.1066,-5.78,-50.8216,93.1873,8.4584,-129.1987,-23.2582,SWI US Equity,Information Technology,1699177309.6800003,,0.5192,-2393.3193
2015-12-31,,,1.8766,-19.04,-91.7449,178.6145,13.6415,-89.2615,-31.3664,MARA US Equity,Information Technology,2865675215.64,,20.4914,-313.7515
2016-12-31,,,1.8884,-30.24,,,-7.8682,-78.2571,-87.5054,MARA US Equity,Information Technology,2865675215.64,,8.6241,39.3172
2017-12-31,,,6.9245,-19.2,,23.8751,2.3684,-6030.0697,-187.9263,MARA US Equity,Information Technology,2865675215.64,,-4.8465,8.9846
2018-12-31,,,3.1646,-2.4,-248.6047,34.2057,0.4578,-820.1839,-126.5442,MARA US Equity,Information Technology,2865675215.64,,1.9783,14.8564
2019-12-31,,,2.0439,-0.53,-107.0881,33.1045,0.4312,-296.7419,-59.5383,MARA US Equity,Information Technology,2865675215.64,,1.4809,64.8974
2020-12-31,,,2.7452,-0.13,-6.6252,0.0591,3.8029,-239.7684,-6.5325,MARA US Equity,Information Technology,2865675215.64,,-89.0426,-131.9615
2021-12-31,,,3.9491,-0.37,-7.4651,0.0,8.3209,-23.3069,-4.2213,MARA US Equity,Information Technology,2865675215.64,,-81.7889,-28.7793
2022-12-31,,,0.9104,-6.05,-128.5978,189.7402,3.7567,-583.2038,-52.0341,MARA US Equity,Information Technology,2865675215.64,,6.5682,-5142.5807
2015-06-30,31.8881,,,2.17,8.9731,0.0,24.9094,7.3248,6.93,ATGE US Equity,Consumer Discretionary,1656279011.1599998,,,-13.4376
2015-12-31,,10.3603,1.0161,,,,,,,ATGE US Equity,Consumer Discretionary,1656279011.1599998,2.25,6.6352,
2016-06-30,31.8881,,,-0.05,-0.1999,0.0,25.2936,-0.1717,-0.1531,ATGE US Equity,Consumer Discretionary,1656279011.1599998,,,
2016-12-31,,12.9404,1.2335,,,,,,,ATGE US Equity,Consumer Discretionary,1656279011.1599998,2.16,6.817,
2017-06-30,33.4373,,,1.93,7.5225,7.4612,26.7599,10.1235,5.5432,ATGE US Equity,Consumer Discretionary,1656279011.1599998,,,
2017-12-31,,16.8069,1.5714,,,,,,,ATGE US Equity,Consumer Discretionary,1656279011.1599998,3.23,1.1638,
2018-06-30,42.7221,,,0.55,2.1183,19.1752,25.3667,2.7427,1.4493,ATGE US Equity,Consumer Discretionary,1656279011.1599998,,,53.1211
2018-12-31,,17.042,1.8654,,,,,,,ATGE US Equity,Consumer Discretionary,1656279011.1599998,3.09,0.8669,
2019-06-30,44.0801,,,1.63,6.5389,28.6276,25.1619,9.3869,4.1489,ATGE US Equity,Consumer Discretionary,1656279011.1599998,,,-24.8925
2019-12-31,,15.1342,1.3898,,,,,,,ATGE US Equity,Consumer Discretionary,1656279011.1599998,3.27,-1.1001,
2020-06-30,44.8245,,,-1.59,-6.3165,39.3514,25.2631,-8.1116,-3.8169,ATGE US Equity,Consumer Discretionary,1656279011.1599998,,,-8.7082
2020-12-31,,14.8675,1.3439,,,,,,,ATGE US Equity,Consumer Discretionary,1656279011.1599998,3.89,-1.8371,
2021-06-30,48.0133,,,1.5,5.89,99.3119,26.4161,6.9139,2.9118,ATGE US Equity,Consumer Discretionary,1656279011.1599998,,,13.5126
2021-12-31,,11.3916,1.119,,,,,,,ATGE US Equity,Consumer Discretionary,1656279011.1599998,3.97,-0.9417,
2022-06-30,47.4902,,,6.57,22.6436,70.8762,33.3149,22.9039,10.4456,ATGE US Equity,Consumer Discretionary,1656279011.1599998,,,-50.1718
2022-12-31,,51.7278,1.0656,,,,,,,ATGE US Equity,Consumer Discretionary,1656279011.1599998,,-0.7127,
2015-12-31,31.3751,128.401,1.4108,1.35,4.0299,15.9263,33.0086,2.475,1.614,MCY US Equity,Financials,1649505873.3299997,1.57,2.6263,-70.5133
2016-12-31,31.3751,65.5115,1.8997,1.32,4.0883,18.2607,31.6953,2.263,1.5513,MCY US Equity,Financials,1649505873.3299997,1.59,4.5911,1.2898
2017-12-31,31.3751,35.5709,1.6788,2.62,8.2462,21.082,31.8331,4.2412,2.9298,MCY US Equity,Financials,1649505873.3299997,1.62,-4.1005,144.0257
2018-12-31,31.3751,28.7278,1.769,-0.1,-0.339,22.9794,29.2317,-0.1695,-0.1087,MCY US Equity,Financials,1649505873.3299997,1.68,-0.3121,
2019-12-31,31.3751,5.4379,1.4991,5.7829,18.734,24.1504,32.5066,8.0575,5.6538,MCY US Equity,Financials,1649505873.3299997,1.69,-0.0719,
2020-12-31,31.3751,9.4242,1.4219,6.77,19.551,21.2402,36.7173,9.8984,6.1324,MCY US Equity,Financials,1649505873.3299997,1.61,-1.0226,20.3605
2021-12-31,31.3751,18.4236,1.3727,4.48,11.8833,19.7336,38.6535,6.2087,3.7851,MCY US Equity,Financials,1649505873.3299997,1.6,-0.5185,-33.4622
2022-12-31,,11.9028,1.2441,-9.26,-27.9964,28.292,27.4897,-14.0725,-7.7171,MCY US Equity,Financials,1649505873.3299997,,0.8023,
2015-12-25,28.1662,,,-0.34,-5.5107,37.5923,6.2251,-2.2878,-3.3946,UCTT US Equity,Information Technology,1619423539.2199998,,,-67.8784
2015-12-31,,29.3405,0.8225,,,,,,,UCTT US Equity,Information Technology,1619423539.2199998,,3.0824,
2016-12-30,31.2946,,,0.31,4.8198,31.3467,6.5581,1.786,2.8042,UCTT US Equity,Information Technology,1619423539.2199998,,,283.3419
2016-12-31,,27.1866,1.4791,,,,,,,UCTT US Equity,Information Technology,1619423539.2199998,,13.0857,
2017-12-29,32.6929,,,2.25,29.0781,17.407,8.9204,8.123,15.906,UCTT US Equity,Information Technology,1619423539.2199998,,,299.2542
2017-12-31,,10.478,2.5884,,,,,,,UCTT US Equity,Information Technology,1619423539.2199998,,4.9154,
2018-12-28,32.9243,,,0.95,9.9364,75.6605,11.1682,3.3375,4.7873,UCTT US Equity,Information Technology,1619423539.2199998,,,-32.0962
2018-12-31,,5.8094,0.7584,,,,,,,UCTT US Equity,Information Technology,1619423539.2199998,,7.848,
2019-12-27,32.9243,,,-0.24,-2.1535,73.8564,10.9449,-0.8816,-0.9472,UCTT US Equity,Information Technology,1619423539.2199998,,,-50.7446
2019-12-31,,59.1834,2.1444,,,,,,,UCTT US Equity,Information Technology,1619423539.2199998,,6.8464,
2020-12-25,33.1858,,,1.93,16.0116,56.5675,13.1182,5.5484,7.3145,UCTT US Equity,Information Technology,1619423539.2199998,,,306.0201
2020-12-31,,14.2559,2.3746,,,,,,,UCTT US Equity,Information Technology,1619423539.2199998,,11.4408,
2021-12-31,33.1858,17.1903,3.0339,2.75,17.3,71.1549,18.9065,5.6861,7.6409,UCTT US Equity,Information Technology,1619423539.2199998,2.12,4.8354,52.9654
2022-12-30,,,,0.89,4.6522,65.2295,19.6438,1.7016,2.0269,UCTT US Equity,Information Technology,1619423539.2199998,,,-35.1642
2022-12-31,,11.2756,1.6876,,,,,,,UCTT US Equity,Information Technology,1619423539.2199998,,2.7268,
2015-12-31,19.4045,6.1533,0.6638,1.9,9.056,237.2765,21.2554,19.9178,2.4852,TGH US Equity,Industrials,1686910697.9699998,,3.6492,-21.998
2016-12-31,20.5814,34.6307,0.3757,-0.93,-4.5097,256.4429,19.8271,-10.5762,-1.2122,TGH US Equity,Industrials,1686910697.9699998,,1.1388,-87.6262
2017-12-31,20.843,745.8544,1.0651,0.34,1.6998,247.0753,20.1856,3.9452,0.4465,TGH US Equity,Industrials,1686910697.9699998,,23.8536,448.8974
2018-12-31,25.0277,15.1121,0.4737,0.88,4.2705,275.878,21.0238,7.4428,1.1013,TGH US Equity,Industrials,1686910697.9699998,,9.4424,35.1438
2019-12-31,25.0277,14.3971,0.4832,0.99,4.6001,296.4633,22.1652,8.0177,1.1377,TGH US Equity,Industrials,1686910697.9699998,,1.743,14.5341
2020-12-31,25.0277,15.0449,0.7689,1.37,5.7818,320.8147,24.9448,10.9455,1.3308,TGH US Equity,Industrials,1686910697.9699998,,-5.6703,-0.4872
2021-12-31,27.12,8.1834,1.069,5.51,18.9189,299.818,33.4055,33.3138,4.3374,TGH US Equity,Industrials,1686910697.9699998,,0.6675,94.1033
2022-12-31,25.0277,4.1707,0.7977,6.23,17.4032,275.7576,38.8748,33.87,4.131,TGH US Equity,Industrials,1686910697.9699998,,2.144,9.8268
2015-12-31,32.1195,,14.6081,-1.0,-155.3477,401.0355,0.6641,-95.3957,-30.0849,IRWD US Equity,Health Care,1606278705.02,1.7,4.6465,39.7249
2016-12-31,32.1195,,28.2209,-0.56,-100.9732,558.788,0.4535,-29.8251,-12.2967,IRWD US Equity,Health Care,1606278705.02,1.81,5.4837,49.1909
2017-12-31,32.1195,,191.681,-0.78,-305.4621,4063.4444,0.0655,-39.2043,-17.7784,IRWD US Equity,Health Care,1606278705.02,1.77,-3.4281,-49.1903
2018-12-31,32.1195,,126.7217,-1.85,,,-1.2717,-81.4588,-60.2241,IRWD US Equity,Health Care,1606278705.02,1.77,1.1274,-208.7058
2019-12-31,32.3509,17.2435,,0.14,,,-0.5919,5.0197,5.8533,IRWD US Equity,Health Care,1606278705.02,1.86,2.4029,
2020-12-31,32.542,18.9075,29.2054,0.67,,724.3008,0.39,27.258,22.0743,IRWD US Equity,Health Care,1606278705.02,1.94,5.382,18.9947
2021-12-31,33.7894,10.0312,3.1182,3.26,158.0876,59.2404,3.7393,127.7206,62.6805,IRWD US Equity,Health Care,1606278705.02,2.19,1.5795,62.4871
2022-12-31,,12.9166,2.9253,1.13,27.8259,63.7537,4.2355,42.6368,15.7189,IRWD US Equity,Health Care,1606278705.02,,-0.084,7.7836
2018-01-31,,,,-54.515,,266.4407,-224.8939,-22.7871,,PHR US Equity,Health Care,1852317551.64,,,
2019-01-31,22.6537,,,-53.8998,,,-232.4,-15.0787,-25.8801,PHR US Equity,Health Care,1852317551.64,,,34.7613
2019-12-31,,,,,,,,,,PHR US Equity,Health Care,1852317551.64,0.86,,
2020-01-31,33.7391,,,-4.5,,23.4271,2.7824,-16.2625,-18.6157,PHR US Equity,Health Care,1852317551.64,,,-61.1333
2020-12-31,,,19.5013,,,,,,,PHR US Equity,Health Care,1852317551.64,1.63,,
2021-01-31,33.9302,,,-0.69,-14.9475,5.4389,5.8668,-18.3566,-11.2446,PHR US Equity,Health Care,1852317551.64,,,-67.8062
2021-12-31,,,7.101,,,,,,,PHR US Equity,Health Care,1852317551.64,1.82,-11.9336,
2022-01-31,,,,-2.37,-34.7233,3.7867,8.0098,-55.414,-28.7797,PHR US Equity,Health Care,1852317551.64,,,-355.0543
2022-12-31,,,4.04,,,,,,,PHR US Equity,Health Care,1852317551.64,,-0.0194,
2017-12-31,41.3439,,1.379,-0.7,,61.0495,25.1842,-13.2139,,JBGS US Equity,Real Estate,1781989288.1699998,,,
2018-12-31,46.1121,,1.4093,0.31,1.3402,60.2317,24.7,6.1976,0.6616,JBGS US Equity,Real Estate,1781989288.1699998,4.18,,
2019-12-31,46.4541,,1.5802,0.5,2.0576,40.5825,25.2443,10.1226,1.0944,JBGS US Equity,Real Estate,1781989288.1699998,4.41,0.409,-15.045
